areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2021-10-18,,7749,32
K02000001,United Kingdom,overview,2021-10-17,,7398,61
K02000001,United Kingdom,overview,2021-10-16,,7136,77
K02000001,United Kingdom,overview,2021-10-15,,7114,92
K02000001,United Kingdom,overview,2021-10-14,,7110,115
K02000001,United Kingdom,overview,2021-10-13,,7061,104
K02000001,United Kingdom,overview,2021-10-12,,7056,101
K02000001,United Kingdom,overview,2021-10-11,,7039,117
K02000001,United Kingdom,overview,2021-10-10,,6889,88
K02000001,United Kingdom,overview,2021-10-09,,6720,108
K02000001,United Kingdom,overview,2021-10-08,164285,6779,107
K02000001,United Kingdom,overview,2021-10-07,164233,6803,119
K02000001,United Kingdom,overview,2021-10-06,164147,6859,101
K02000001,United Kingdom,overview,2021-10-05,164068,6874,119
K02000001,United Kingdom,overview,2021-10-04,163977,6799,98
K02000001,United Kingdom,overview,2021-10-03,163890,6610,96
K02000001,United Kingdom,overview,2021-10-02,163799,6454,105
K02000001,United Kingdom,overview,2021-10-01,163693,6603,124
K02000001,United Kingdom,overview,2021-09-30,163576,6773,112
K02000001,United Kingdom,overview,2021-09-29,163455,6919,122
K02000001,United Kingdom,overview,2021-09-28,163324,7034,103
K02000001,United Kingdom,overview,2021-09-27,163218,7053,114
K02000001,United Kingdom,overview,2021-09-26,163099,6821,96
K02000001,United Kingdom,overview,2021-09-25,162994,6961,124
K02000001,United Kingdom,overview,2021-09-24,162867,6917,124
K02000001,United Kingdom,overview,2021-09-23,162732,7169,137
K02000001,United Kingdom,overview,2021-09-22,162589,7419,146
K02000001,United Kingdom,overview,2021-09-21,162436,7627,121
K02000001,United Kingdom,overview,2021-09-20,162303,7799,134
K02000001,United Kingdom,overview,2021-09-19,162151,7747,126
K02000001,United Kingdom,overview,2021-09-18,162020,7696,122
K02000001,United Kingdom,overview,2021-09-17,161887,7906,171
K02000001,United Kingdom,overview,2021-09-16,161708,8113,150
K02000001,United Kingdom,overview,2021-09-15,161552,8397,142
K02000001,United Kingdom,overview,2021-09-14,161391,8393,154
K02000001,United Kingdom,overview,2021-09-13,161233,8472,110
K02000001,United Kingdom,overview,2021-09-12,161119,8249,139
K02000001,United Kingdom,overview,2021-09-11,160980,8139,137
K02000001,United Kingdom,overview,2021-09-10,160838,8311,144
K02000001,United Kingdom,overview,2021-09-09,160691,8140,162
K02000001,United Kingdom,overview,2021-09-08,160516,8131,139
K02000001,United Kingdom,overview,2021-09-07,160376,7976,155
K02000001,United Kingdom,overview,2021-09-06,160219,8034,137
K02000001,United Kingdom,overview,2021-09-05,160068,7748,155
K02000001,United Kingdom,overview,2021-09-04,159914,7552,132
K02000001,United Kingdom,overview,2021-09-03,159776,7667,147
K02000001,United Kingdom,overview,2021-09-02,159629,7618,127
K02000001,United Kingdom,overview,2021-09-01,159495,7678,116
K02000001,United Kingdom,overview,2021-08-31,159380,7675,116
K02000001,United Kingdom,overview,2021-08-30,159262,7336,106
K02000001,United Kingdom,overview,2021-08-29,159154,7107,128
K02000001,United Kingdom,overview,2021-08-28,159020,6976,122
K02000001,United Kingdom,overview,2021-08-27,158889,7081,127
K02000001,United Kingdom,overview,2021-08-26,158755,7029,116
K02000001,United Kingdom,overview,2021-08-25,158635,6983,101
K02000001,United Kingdom,overview,2021-08-24,158532,6959,113
K02000001,United Kingdom,overview,2021-08-23,158417,7017,113
K02000001,United Kingdom,overview,2021-08-22,158299,6747,116
K02000001,United Kingdom,overview,2021-08-21,158174,6529,104
K02000001,United Kingdom,overview,2021-08-20,158062,6518,117
K02000001,United Kingdom,overview,2021-08-19,157938,6507,108
K02000001,United Kingdom,overview,2021-08-18,157826,6464,98
K02000001,United Kingdom,overview,2021-08-17,157717,6406,106
